has_cost,fusion_id,sku_name_pb,sku_level_pb,sku_name,sku_level_osc,sku_category,sku_type,sku_cost,cost_currency,vendor,USD_MRC,USD_NRC,CAD_MRC,CAD_NRC,EUR_MRC,EUR_NRC,GBP_MRC,GBP_NRC
False,1078,100 Mbps - Primary Access Port,TLS,,,,,,,,,,300.0,0.0,,,,
False,4936,100 Mbps Clean Traffic Commit,Component,,,,,,,,1010.0,0.0,1340.0,0.0,,,800.0,0.0
False,4954,100 Mbps Clean Traffic Commit,Component,,,,,,,,1010.0,0.0,1340.0,0.0,,,800.0,0.0
False,2819,100 Mbps Sustained Throughput for LB,Component,,,,,,,,150.0,0.0,150.0,0.0,,,93.75,0.0
False,908,100 Mbps Unmetered,Component,,,,,,,,1900.0,0.0,1900.0,0.0,,,1000.0,0.0
False,3651,100 Mbps incoming traffic commit,Component,,,,,,,,296.0,0.0,395.0,0.0,,,198.0,0.0
False,3643,100 Mbps incoming traffic commit on demand,Component,,,,,,,,0.0,296.0,0.0,395.0,,,,
False,1686,100 Plesk Virtuozzo Domain - Linux,Component,,,,,,,,285.0,0.0,327.75,0.0,,,178.25,0.0
False,1149,100 Professional 2007 Mailboxes,Component,,,,,,,,900.0,0.0,1035.0,0.0,,,750.0,0.0
False,1640,100 Professional 2010 Mailboxes,Component,,,,,,,,900.0,0.0,1035.0,0.0,,,750.0,0.0
False,1726,1000 GB (1TB) Storage Block,Component,,,,,,,,700.0,0.0,1150.0,0.0,,,625.0,0.0
False,378,1000 GB Bandwidth Block,Component,,,,,,,,100.0,0.0,100.0,0.0,,,70.0,0.0
False,4709,1000 GiB Aptum Cloud HDD,Component,,,,,,,,121.2,0.0,150.29,0.0,,,,
False,461,1000 Mbit Connection - GigE,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,2681,1000 Mbps 95th percentile / flat rate (Committed),Component,,,,,,,,4800.0,0.0,6000.0,0.0,,,3000.0,0.0
False,4939,1000 Mbps Clean Traffic Commit,Component,,,,,,,,10100.0,0.0,7980.0,0.0,,,7980.0,0.0
False,4957,1000 Mbps Clean Traffic Commit,Component,,,,,,,,10100.0,0.0,13430.0,0.0,,,7980.0,0.0
False,4073,1000 Mbps Unlimited Bandwidth,Component,,,,,,,,1050.0,0.0,1400.0,0.0,,,,
False,3654,1000 Mbps incoming traffic commit,Component,,,,,,,,2000.0,0.0,2700.0,0.0,,,1700.0,0.0
False,620,10000 GB Bandwidth Block,Component,,,,,,,,1000.0,0.0,1000.0,0.0,,,705.0,0.0
False,1814,100000 GB Bandwidth Block,Component,,,,,,,,10000.0,0.0,10000.0,0.0,,,7000.0,0.0
False,4462,1000GiB VPS HDD,Component,,,,,,,,121.2,0.0,,,,,,
False,3207,1000Mbps – 95th percentile (Commited),Component,,,,,,,,2100.0,0.0,,,,,,
False,6215,100G TwinAx Copper Cable 50CM,Component,,,,,,,,4.87,0.0,4.87,0.0,,,4.87,0.0
False,2208,100GB Distrib eVault Backup,Component,,,,,,,,,,,,,,0.0,0.0
False,1055,100GB Monthly Transfer,Component,,,,,,,,20.0,0.0,,,,,,
False,4126,100GBase – LR4 QSFP 28 Pluggable Module,Component,,,,,,,,1050.0,0.0,1370.0,0.0,,,820.0,0.0
False,1951,100Mbps flat rate (Committed),Component,,,,,,,,995.0,0.0,995.0,0.0,,,600.0,0.0
False,3081,1024 GB DDR4 RAM Total (64 GB Included) - Upgrade,Component,,,,,,,,1920.0,0.0,2496.0,0.0,,,1440.0,0.0
False,3155,1024 GB DDR4 RAM Total (64 GB Included) - Upgrade,Component,,,,,,,,1280.0,0.0,1280.0,0.0,,,1216.0,0.0
False,3267,1024 GB RAM Physical and Virtual Total (64GB Included) - Upgrade,Component,,,,,,,,5280.0,0.0,7104.0,0.0,,,4704.0,0.0
False,5439,109 GB Protected Storage - VDC/SC,Component,,,,,,,,,,19.66,0.0,,,,
False,5438,109 GiB Aptum Storage - VDC/SC,Component,,,,,,,,,,19.66,0.0,,,,
