product_sku,fusion_id,sku_name,match_type,fuzzy_score
Alert Logic MDR - Professional: 5 Nodes,4854,Alert Logic MDR - Professional: 5 Nodes,direct,
Alert Logic MDR - Professional: 10 Nodes,4844,Alert Logic MDR - Professional: 100 Nodes,fuzzy,98.7
Alert Logic MDR - Professional: 10 Nodes,4845,Alert Logic MDR - Professional: 150 Nodes,fuzzy,98.7
Alert Logic MDR - Professional: 15 Nodes,4845,Alert Logic MDR - Professional: 150 Nodes,fuzzy,98.7
Alert Logic MDR - Professional: 20 Nodes,4846,Alert Logic MDR - Professional: 250 Nodes,fuzzy,98.7
Alert Logic MDR - Professional: 25 Nodes,4842,Alert Logic MDR - Professional: 25 Nodes,direct,
Alert Logic MDR - Professional: 50 Nodes,4843,Alert Logic MDR - Professional: 50 Nodes,direct,
Alert Logic MDR - Professional: 100 Nodes,4844,Alert Logic MDR - Professional: 100 Nodes,direct,
Alert Logic MDR - Professional: 150 Nodes,4845,Alert Logic MDR - Professional: 150 Nodes,direct,
Alert Logic MDR - Professional: 250 Nodes,4846,Alert Logic MDR - Professional: 250 Nodes,direct,
Alert Logic MDR - Professional: 500 Nodes,4847,Alert Logic MDR - Professional: 500 Nodes,direct,
Alert Logic MDR - Professional: 750 Nodes,4848,Alert Logic MDR - Professional: 750 Nodes,direct,
Alert Logic MDR - Professional: 1000 Nodes,4849,Alert Logic MDR - Professional: 1000 Nodes,direct,
Alert Logic MDR - Enterprise: ActiveWatch,4850,Alert Logic MDR - Enterprise: ActiveWatch,direct,
Alert Logic MDR - Virtual Appliance,4836,Alert Logic MDR - Virtual Appliance,direct,
Alert Logic Remote Collector,4851,Alert Logic Remote Collector,direct,
Alert Logic Agent,3744,Alert Logic agent for Linux,fuzzy,77.3
Alert Logic Agent,5191,Alert Logic Agent for Cloud,fuzzy,77.3
IPMI Card,690,IPMI Card,direct,
Network DDoS Protection,1049,Network DDoS Protection,direct,
5 Mbps Clean Traffic Commit,4950,5 Mbps Clean Traffic Commit,direct,
10 Mbps Clean Traffic Commit,4951,10 Mbps Clean Traffic Commit,direct,
25 Mbps Clean Traffic Commit,4952,25 Mbps Clean Traffic Commit,direct,
50 Mbps Clean Traffic Commit,4953,50 Mbps Clean Traffic Commit,direct,
100 Mbps Clean Traffic Commit,4954,100 Mbps Clean Traffic Commit,direct,
250 Mbps Clean Traffic Commit,4955,250 Mbps Clean Traffic Commit,direct,
500 Mbps Clean Traffic Commit,4956,500 Mbps Clean Traffic Commit,direct,
1000 Mbps Clean Traffic Commit,4957,1000 Mbps Clean Traffic Commit,direct,
1250 Mbps Clean Traffic Commit,4958,1250 Mbps Clean Traffic Commit,direct,
1500 Mbps Clean Traffic Commit,4959,1500 Mbps Clean Traffic Commit,direct,
1750 Mbps Clean Traffic Commit,4960,1750 Mbps Clean Traffic Commit,direct,
2000 Mbps Clean Traffic Commit,4961,2000 Mbps Clean Traffic Commit,direct,
/28 - Protected IP Range (14 Usable),4962,/28 - Protected IP Range (14 Usable),direct,
/27 - Protected IP Range (30 Usable),4963,/27 - Protected IP Range (30 Usable),direct,
/26 - Protected IP Range (62 Usable),4964,/26 - Protected IP Range (62 Usable),direct,
/25 - Protected IP Range (126 Usable),4965,/25 - Protected IP Range (126 Usable),direct,
/24 - Protected IP Range (254 Usable),4966,/24 - Protected IP Range (254 Usable),direct,
/24 - Customer Supplied IP Range,4967,/24 - Customer Supplied IP Range,direct,
Rush set-up (within 24 hours) additional charge,,,no_match,53.2
Additional Web Application,,,no_match,63.0
Additional SSL Certificate,3122,Global SSL Certificate,fuzzy,79.2
"/30 IPv4 block (4 total, 1 customer-usable)",4866,"/26 IPv4 block (64 total,61 customer-usable addresses)",fuzzy,82.2
"/29 IPv4 block (8 total, 5 customer-usable)",4332,"/29 IPv4 block (8 total,5 customer-usable addresses)",fuzzy,88.6
"/28 IPv4 block (16 total, 13 customer-usable)",4425,"/28 IPv4 block (16 total,13 customer-usable addresses)",fuzzy,89.1
"/27 IPv4 block (32 total, 29 customer usable)",4452,"/27 IPv4 block (32 total,29 customer-usable addresses)",fuzzy,89.1
"/26 IPv4 block (64 total, 61 customer usable)",4866,"/26 IPv4 block (64 total,61 customer-usable addresses)",fuzzy,89.1
"/25 IPv4 block (128 total, 125 customer usable)",4351,"/25 IPv4 block (128 total, 125 customer usable addresses)",fuzzy,89.6
1 GigE - Primary Access Port,1152,1 GigE - POP Access Port Fiber (On Net),fuzzy,65.6
10 GigE - Primary Access Port,1154,10 GigE - POP Access Port Fiber (On Net),fuzzy,66.7
